,county,fips,Neighbors,Neighbor Code
2774,"Stevens County, MN",27149,"Big Stone County, MN, Douglas County, MN, Grant County, MN, Pope County, MN, Stevens County, MN, Swift County, MN, Traverse County, MN","27011, 27041, 27051, 27121, 27149, 27151, 27155"
2775,"Stevens County, WA",53065,"Ferry County, WA, Lincoln County, WA, Pend Oreille County, WA, Spokane County, WA, Stevens County, WA","53019, 53043, 53051, 53063, 53065"
2776,"Stewart County, GA",13259,"Barbour County, AL, Russell County, AL, Chattahoochee County, GA, Marion County, GA, Quitman County, GA, Randolph County, GA, Stewart County, GA, Webster County, GA","01005, 01113, 13053, 13197, 13239, 13243, 13259, 13307"
2777,"Stewart County, TN",47161,"Calloway County, KY, Christian County, KY, Trigg County, KY, Benton County, TN, Henry County, TN, Houston County, TN, Montgomery County, TN, Stewart County, TN","21035, 21047, 21221, 47005, 47079, 47083, 47125, 47161"
2778,"Stillwater County, MT",30095,"Carbon County, MT, Golden Valley County, MT, Park County, MT, Stillwater County, MT, Sweet Grass County, MT, Yellowstone County, MT","30009, 30037, 30067, 30095, 30097, 30111"
2779,"Stoddard County, MO",29207,"Bollinger County, MO, Butler County, MO, Cape Girardeau County, MO, Dunklin County, MO, New Madrid County, MO, Scott County, MO, Stoddard County, MO, Wayne County, MO","29017, 29023, 29031, 29069, 29143, 29201, 29207, 29223"
2780,"Stokes County, NC",37169,"Forsyth County, NC, Guilford County, NC, Rockingham County, NC, Stokes County, NC, Surry County, NC, Henry County, VA, Patrick County, VA","37067, 37081, 37157, 37169, 37171, 51089, 51141"
2781,"Stone County, AR",05137,"Baxter County, AR, Cleburne County, AR, Independence County, AR, Izard County, AR, Searcy County, AR, Stone County, AR, Van Buren County, AR","05005, 05023, 05063, 05065, 05129, 05137, 05141"
2782,"Stone County, MO",29209,"Carroll County, AR, Barry County, MO, Christian County, MO, Lawrence County, MO, Stone County, MO, Taney County, MO","05015, 29009, 29043, 29109, 29209, 29213"
2783,"Stone County, MS",28131,"Forrest County, MS, George County, MS, Hancock County, MS, Harrison County, MS, Jackson County, MS, Pearl River County, MS, Perry County, MS, Stone County, MS","28035, 28039, 28045, 28047, 28059, 28109, 28111, 28131"
2784,"Stonewall County, TX",48433,"Dickens County, TX, Fisher County, TX, Haskell County, TX, Jones County, TX, Kent County, TX, King County, TX, Knox County, TX, Stonewall County, TX","48125, 48151, 48207, 48253, 48263, 48269, 48275, 48433"
2785,"Storey County, NV",32029,"Lyon County, NV, Storey County, NV, Washoe County, NV, Carson City, NV","32019, 32029, 32031, 32510"
2786,"Story County, IA",19169,"Boone County, IA, Hamilton County, IA, Hardin County, IA, Jasper County, IA, Marshall County, IA, Polk County, IA, Story County, IA","19015, 19079, 19083, 19099, 19127, 19153, 19169"
2787,"Strafford County, NH",33017,"York County, ME, Belknap County, NH, Carroll County, NH, Merrimack County, NH, Rockingham County, NH, Strafford County, NH","23031, 33001, 33003, 33013, 33015, 33017"
2788,"Stutsman County, ND",38093,"Barnes County, ND, Foster County, ND, Griggs County, ND, Kidder County, ND, LaMoure County, ND, Logan County, ND, Stutsman County, ND, Wells County, ND","38003, 38031, 38039, 38043, 38045, 38047, 38093, 38103"
2789,"Sublette County, WY",56035,"Fremont County, WY, Lincoln County, WY, Sublette County, WY, Sweetwater County, WY, Teton County, WY","56013, 56023, 56035, 56037, 56039"
2790,"Suffolk County, MA",25025,"Essex County, MA, Middlesex County, MA, Norfolk County, MA, Plymouth County, MA, Suffolk County, MA","25009, 25017, 25021, 25023, 25025"
2791,"Suffolk County, NY",36103,"Fairfield County, CT, Middlesex County, CT, New Haven County, CT, New London County, CT, Nassau County, NY, Suffolk County, NY, Washington County, RI","09001, 09007, 09009, 09011, 36059, 36103, 44009"
2792,"Suffolk city, VA",51800,"Camden County, NC, Gates County, NC, Isle of Wight County, VA, Southampton County, VA, Chesapeake city, VA, Newport News city, VA, Portsmouth city, VA, Suffolk city, VA","37029, 37073, 51093, 51175, 51550, 51700, 51740, 51800"
2793,"Sullivan County, IN",18153,"Clark County, IL, Crawford County, IL, Clay County, IN, Greene County, IN, Knox County, IN, Sullivan County, IN, Vigo County, IN","17023, 17033, 18021, 18055, 18083, 18153, 18167"
2794,"Sullivan County, MO",29211,"Adair County, MO, Grundy County, MO, Linn County, MO, Mercer County, MO, Putnam County, MO, Sullivan County, MO","29001, 29079, 29115, 29129, 29171, 29211"
2795,"Sullivan County, NH",33019,"Cheshire County, NH, Grafton County, NH, Hillsborough County, NH, Merrimack County, NH, Sullivan County, NH, Windham County, VT, Windsor County, VT","33005, 33009, 33011, 33013, 33019, 50025, 50027"
2796,"Sullivan County, NY",36105,"Delaware County, NY, Orange County, NY, Sullivan County, NY, Ulster County, NY, Pike County, PA, Wayne County, PA","36025, 36071, 36105, 36111, 42103, 42127"
2797,"Sullivan County, PA",42113,"Bradford County, PA, Columbia County, PA, Luzerne County, PA, Lycoming County, PA, Sullivan County, PA, Wyoming County, PA","42015, 42037, 42079, 42081, 42113, 42131"
2798,"Sullivan County, TN",47163,"Carter County, TN, Hawkins County, TN, Johnson County, TN, Sullivan County, TN, Washington County, TN, Scott County, VA, Washington County, VA, Bristol city, VA","47019, 47073, 47091, 47163, 47179, 51169, 51191, 51520"
2799,"Sully County, SD",46119,"Dewey County, SD, Hughes County, SD, Hyde County, SD, Potter County, SD, Stanley County, SD, Sully County, SD","46041, 46065, 46069, 46107, 46117, 46119"
2800,"Summers County, WV",54089,"Giles County, VA, Fayette County, WV, Greenbrier County, WV, Mercer County, WV, Monroe County, WV, Raleigh County, WV, Summers County, WV","51071, 54019, 54025, 54055, 54063, 54081, 54089"
